Country,Num_Exports,Num_Imports,Amount_Exports,Amount_Imports,Betweenness,Local_Clustering,Eccentricity
VEN,6,0,9812585.987999998,0.0,0.0,0.3333333333333333,
AUS,18,17,6437415.196,5202191.222,0.24133006935944512,0.31462585034013607,999.1038851499403
COG,11,2,5427385.177999999,0.065,0.0,0.4230769230769231,999.1038885944965
ARG,12,1,5382896.69,0.31,0.0,0.3076923076923077,999.1038814225593
GAB,13,0,5233494.632,0.0,0.0,0.5256410256410257,
GHA,12,1,3736537.1199999996,0.913,0.0,0.3974358974358974,999.1038821838581
TCD,7,0,3178494.702,0.0,0.0,0.47619047619047616,
CMR,9,0,2698320.188,0.0,0.0,0.6805555555555556,
IDN,10,24,2690939.425,9901534.023,0.014109887120903032,0.34864864864864864,999.103889954848
GNQ,12,0,2261876.842,0.0,0.0,0.5227272727272727,
BRN,9,15,2090758.935,4332360.723,0.002583979328165375,0.3925925925925926,999.1038870843762
TTO,4,2,1705374.0889999997,2.855,0.010029919760641914,0.5,999.1038815792136
VNM,8,7,1625814.33,641833.37,0.0,0.529126213592233,999.1038867711205
TUR,8,11,1223670.3509999998,3068259.195,0.06538147694818441,0.38529411764705884,999.1038832090785
EGY,9,5,1207858.71,947097.2579999999,0.009791921664626682,0.31868131868131866,999.1038938069645
CIV,15,4,1021277.591,2431018.61,0.004351965184278526,0.41124260355029585,999.1038904797452
SEN,13,2,916285.421,756694.412,0.013837889296885625,0.3238095238095238,999.1038941870365
PNG,5,2,838152.3189999999,20.284000000000002,0.0,0.675,999.1039044553545
BEL,17,43,805490.805,22133773.07099999,0.02529579763361893,0.21546333143831722,999.1039163108442
ITA,23,38,763056.6259999999,33104370.636999995,0.0598735210118319,0.21652030735455544,999.1038869283333
DNK,12,13,748870.6579999999,2960967.5570000005,0.023833809329525363,0.32154882154882153,999.1039079191628
SDN,3,1,680057.6109999999,0.001,0.0,0.3333333333333333,199.96001721880245
COD,4,3,598565.4990000001,1164.762,0.010131918944648443,0.30952380952380953,999.1038954961201
CHN,23,46,549640.465,302481885.17399997,0.056235550115599074,0.12537377189235369,999.1039127106912
THA,16,30,534092.576,32829737.857,0.053005575955392355,0.2725947521865889,999.1038894111642
NZL,8,5,522171.90799999994,98.761,0.008839929280565756,0.3618421052631579,999.1038910633853
HRV,5,16,521393.365,1824917.2300000002,0.027539779681762546,0.35507246376811596,999.1041450153612
TUN,13,2,447671.164,279797.272,0.0,0.3952380952380952,999.1038964692332
ESP,28,34,444486.024,35941945.583,0.0416156670746634,0.2161874334398296,999.1038939925927
SSD,3,0,397190.027,0.0,0.0,0.5,
SVK,3,15,369578.933,2904181.256,0.0,0.3344370860927152,999.1048137947447
ISR,7,8,357368.335,1219173.3199999998,0.0006799945600435197,0.42857142857142855,999.1039180988045
NIC,1,2,357165.523,518390.989,0.0,0.5,999.1038969868589
MNG,1,1,322198.066,0.05,0.0,0.5,999.1039158143722
FRA,27,40,283359.65200000006,29223640.709000006,0.03243574051407589,0.25045537340619306,999.1038874044415
NER,10,0,276222.423,0.0,0.0,0.2222222222222222,
PAK,5,7,209688.028,5706033.063999999,0.005099959200326397,0.4318181818181818,999.1038978142471
PHL,5,9,191833.558,3701756.134,0.0050659594723242215,0.45,999.1039005978281
PER,9,12,180567.68200000003,3590662.483,0.008669930640554876,0.40487804878048783,999.1038887756541
TKM,3,1,174914.745,0.015,0.0,0.25,999.1038967144929
SGP,16,46,163883.479,28263908.302000005,0.027777777777777776,0.22792553191489362,999.103899306723
DEU,18,38,133461.015,41601921.432,0.014959880320957433,0.23581213307240703,999.1039264107461
GRC,4,18,132058.391,14431860.716,0.0015299877600979193,0.19913419913419914,999.1038918120338
LBR,3,2,114061.89199999999,21.727,0.0,0.75,999.1039008787849
ALB,4,0,108467.35599999999,0.0,0.0,0.25,
MLT,3,5,96735.924,56921.188,0.0,0.5555555555555556,999.1039100332531
IND,13,33,93086.05600000001,141615299.991,0.01591187270501836,0.19622093023255813,999.1038981387201
ZAF,25,15,87164.43200000002,5164696.195999999,0.06606147150822793,0.18822768434670117,999.1038796488508
POL,12,13,83381.344,15418713.628000002,0.01808785529715762,0.2727272727272727,999.1039384120904
MOZ,3,7,81563.949,134.753,0.0050659594723242215,0.25,999.1039359237488
GTM,3,6,78302.95400000001,422.735,0.004419964640282878,0.3,999.1038936926361
HUN,6,9,64742.234000000004,2861142.806,0.014313885488916088,0.29411764705882354,999.1048110843415
TLS,1,0,64154.68,0.0,0.0,0.0,
JPN,11,19,63338.909,73010955.92,0.0001699986400108799,0.2916666666666667,999.1039164141813
KOR,5,35,57022.108,84667588.35999997,0.01880184958520332,0.2705655526992288,999.1039157539142
SWE,7,15,55621.324,11065279.011999998,0.028049775601795186,0.27729257641921395,999.1039054208437
CYP,1,2,34591.822,29.503999999999998,0.0,1.0,999.1039439702987
PAN,1,6,32312.48,13153559.365,0.0,0.425,999.1039302545176
PRT,6,13,30719.817,6339100.425000001,0.009417924656602747,0.32142857142857145,999.1039201077406
IRL,4,7,17744.993000000002,1301105.4840000002,0.0,0.660377358490566,999.1039439705493
URY,2,5,16366.425,844236.985,0.0,0.3333333333333333,999.1039768550382
VGB,1,0,15096.95,0.0,0.0,0.0,
BRB,2,1,13633.669,234100.961,0.0,0.16666666666666666,1000.9188336669349
CHL,2,4,10113.178,4949211.161,0.0,0.5333333333333333,999.1040139435172
STP,1,0,6308.475,0.0,0.0,0.0,
ROU,2,14,5139.323,4619037.086999999,0.014109887120903032,0.18487394957983194,1124.0884591146676
BIH,1,0,4664.39,0.0,0.0,0.0,
AUT,5,18,3204.066,4690501.47,0.0,0.30357142857142855,999.1041994504051
PRY,1,1,2780.081,0.237,0.0,0.5,999.104879750682
BOL,1,4,1564.924,105973.107,0.010165918672650619,0.25,999.1045200489325
TZA,2,3,1289.473,9.944999999999999,0.0,0.3,999.1047760460051
FIN,3,8,1189.4019999999998,5269002.267,0.0,0.6415094339622641,999.104728271706
MDA,1,2,610.708,15.454999999999998,0.0,0.0,1124.0900965584185
LVA,3,3,451.777,1.93,0.004521963824289405,0.17857142857142858,1027.6459941177568
UKR,1,5,98.59,3187.445,0.00013599891200870393,0.03571428571428571,1124.0986021310978
SVN,4,6,72.518,75437.94,0.0,0.4523809523809524,999.1187309059741
FJI,1,2,69.694,60.502,0.004453964368285054,0.16666666666666666,
CZE,9,13,53.199999999999996,3681103.9600000004,0.008771929824561403,0.2982456140350877,999.1350079369023
NAM,12,4,21.924,10.856,0.0043859649122807015,0.3319327731092437,999.0009990009991
HKG,5,2,21.48,443290.392,0.0,0.5714285714285714,999.1515839733929
IRN,1,0,20.993,0.0,0.0,0.0,
KEN,1,2,4.746,0.8639999999999999,0.004453964368285054,0.0,
LKA,1,5,3.432,766353.169,0.004453964368285054,0.26666666666666666,
DOM,1,4,3.365,787869.271,0.004453964368285054,0.55,
CHE,7,10,2.111,1668183.577,0.0,0.33955223880597013,999.7931178130694
JAM,2,4,1.5590000000000002,306575.39800000004,0.009417924656602747,0.3,1000.9187603180908
TGO,2,2,1.4849999999999999,498143.39,0.0,0.3333333333333333,1000.195595857547
S19,2,12,1.429,28200612.792999998,0.0,0.22527472527472528,999.8620759496775
GMB,2,0,1.094,0.0,0.0,0.0,
UGA,1,3,1.088,49.989000000000004,0.0,0.08333333333333333,1000.0230122984025
BHR,3,1,0.891,0.099,0.0,0.4166666666666667,1001.3561634904677
JOR,2,1,0.475,1.347,0.0,0.3333333333333333,1001.2180658560226
CUW,2,1,0.41100000000000003,33.094,0.0,0.3333333333333333,1001.6878877129653
EST,2,2,0.29600000000000004,0.111,0.004929960560315518,0.3,1014.4882725088306
SLV,1,3,0.278,51.168,0.0,0.5,1002.7010256737601
MUS,2,1,0.20400000000000001,10.05,0.0,0.6666666666666666,1004.029983414683
WSM,1,1,0.182,0.001,0.004453964368285054,0.0,
ATG,1,1,0.154,1.19,0.004453964368285054,0.0,
MAR,1,0,0.123,0.0,0.0,0.0,
GIB,1,3,0.098,392136.084,0.0,0.3333333333333333,1009.3078715030263
ISL,1,3,0.095,0.534,0.0,0.4166666666666667,1009.6301104081597
ABW,1,1,0.081,21.744,0.0,1.0,1011.4494416601689
LUX,2,4,0.078,11.222000000000001,0.0,0.8928571428571429,1022.3591881949147
BFA,1,2,0.05,15.684000000000001,0.0,0.3333333333333333,1019.103512718691
SWZ,1,2,0.028,171548.796,0.0,0.16666666666666666,1034.8169461733828
NCL,1,1,0.024,8.876,0.0,0.0,1040.7688469387347
CUB,1,1,0.024,7.785,0.0,1.0,1040.7688115174053
